# nConsumer,nTime,nTariffIneq,nUtilIneq
5,15,1,5
# Wholesale prices
# Time,Price
0,138
1,451
2,13
3,204
4,443
5,342
6,141
7,322
8,118
9,249
10,339
11,366
12,147
13,465
14,205
# Total load
# Consumer,MinTotal,MaxTotal
0,6704,9651
1,5760,9415
2,6331,7645
3,7029,9489
4,6106,6919
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,45,789
0,1,16,542
0,2,340,856
0,3,631,712
0,4,673,751
0,5,670,966
0,6,3,805
0,7,339,444
0,8,551,675
0,9,294,453
0,10,137,301
0,11,263,778
0,12,370,993
0,13,245,994
0,14,104,551
1,0,274,358
1,1,48,770
1,2,8,628
1,3,451,768
1,4,187,746
1,5,299,394
1,6,503,684
1,7,516,830
1,8,438,644
1,9,356,991
1,10,217,419
1,11,186,976
1,12,61,513
1,13,324,328
1,14,98,344
2,0,271,307
2,1,29,785
2,2,373,480
2,3,346,432
2,4,322,890
2,5,87,765
2,6,272,798
2,7,704,882
2,8,698,834
2,9,459,989
2,10,294,589
2,11,354,373
2,12,321,789
2,13,214,274
2,14,184,296
3,0,394,807
3,1,354,596
3,2,13,727
3,3,721,807
3,4,261,335
3,5,358,770
3,6,544,732
3,7,119,900
3,8,271,885
3,9,883,948
3,10,114,236
3,11,65,67
3,12,560,823
3,13,264,799
3,14,281,766
4,0,390,834
4,1,278,504
4,2,690,896
4,3,696,774
4,4,327,778
4,5,20,474
4,6,256,669
4,7,165,577
4,8,138,313
4,9,433,610
4,10,657,719
4,11,6,752
4,12,40,766
4,13,499,519
4,14,302,885
# Tariff
# Time,MinTariff,MaxTariff
0,266,942
1,577,869
2,377,760
3,617,756
4,619,934
5,732,841
6,103,526
7,384,385
8,337,391
9,136,643
10,328,685
11,203,775
12,55,604
13,567,582
14,43,171
#Utilities
# Consumer,Time,MinUtil,MaxUtil
0,0,660,769
0,1,61,466
0,2,507,977
0,3,418,556
0,4,255,550
0,5,179,484
0,6,268,506
0,7,504,632
0,8,420,525
0,9,392,694
0,10,305,744
0,11,361,375
0,12,473,594
0,13,214,994
0,14,437,528
1,0,284,649
1,1,512,716
1,2,118,879
1,3,365,704
1,4,359,559
1,5,378,864
1,6,109,367
1,7,11,975
1,8,227,942
1,9,642,860
1,10,2,927
1,11,235,514
1,12,31,138
1,13,242,925
1,14,629,745
2,0,38,901
2,1,62,596
2,2,40,713
2,3,457,685
2,4,118,507
2,5,73,169
2,6,470,829
2,7,559,810
2,8,714,827
2,9,430,549
2,10,579,874
2,11,192,816
2,12,463,481
2,13,255,391
2,14,686,728
3,0,194,343
3,1,332,546
3,2,261,459
3,3,519,804
3,4,228,364
3,5,311,546
3,6,217,476
3,7,74,337
3,8,46,783
3,9,153,335
3,10,302,643
3,11,349,581
3,12,637,817
3,13,3,930
3,14,11,647
4,0,132,854
4,1,410,939
4,2,272,476
4,3,572,895
4,4,298,740
4,5,89,548
4,6,699,977
4,7,233,505
4,8,373,791
4,9,125,502
4,10,698,985
4,11,807,848
4,12,190,676
4,13,49,190
4,14,380,938
# Tariff inequalities: SUM(coeff_t * tariff_t) <= const
# TariffIneqID,Constant,Coeff0,Coeff1,...,Coeff_nTime-1
0,41141,1,7,3,10,4,7,5,8,0,3,8,7,5,3,3
# Utility inequalities: SUM(coeff_it * util_it) <= const
# UtilityIneqID,Constant,Coeff_C0T0,Coeff_C0T1,...Coeff_C0T(nTime-1),Coeff_C1T0,Coeff_C1T1,...
0,29463,2,1,7,5,0,4,4,10,6,10,7,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,5,10,4,7,2,5,5,2,10,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,35174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,4,6,1,8,0,9,5,2,7,9,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,8,4,8,10,7,6,7,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,41831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,1,2,2,7,10,9,6,7,7,1,3,9
