# nConsumer,nTime,nTariffIneq,nUtilIneq
5,15,1,1
# Wholesale prices
# Time,Price
0,373
1,16
2,442
3,260
4,214
5,146
6,176
7,223
8,92
9,350
10,132
11,158
12,22
13,444
14,438
# Total load
# Consumer,MinTotal,MaxTotal
0,4049,7178
1,5157,8183
2,4217,9167
3,6910,8150
4,5197,6587
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,170,198
0,1,24,160
0,2,193,776
0,3,266,942
0,4,25,869
0,5,406,617
0,6,619,934
0,7,280,732
0,8,384,642
0,9,337,391
0,10,643,677
0,11,203,731
0,12,55,604
0,13,410,567
0,14,45,789
1,0,61,466
1,1,507,977
1,2,418,556
1,3,255,550
1,4,179,484
1,5,268,506
1,6,504,632
1,7,420,525
1,8,392,694
1,9,305,744
1,10,361,375
1,11,473,594
1,12,214,994
1,13,437,528
1,14,274,358
2,0,512,716
2,1,118,879
2,2,365,704
2,3,359,559
2,4,378,864
2,5,109,367
2,6,11,975
2,7,227,942
2,8,642,860
2,9,2,927
2,10,235,514
2,11,31,138
2,12,242,925
2,13,629,745
2,14,271,307
3,0,62,596
3,1,40,713
3,2,457,685
3,3,118,507
3,4,73,169
3,5,470,829
3,6,559,810
3,7,714,827
3,8,430,549
3,9,579,874
3,10,192,816
3,11,463,481
3,12,255,391
3,13,686,728
3,14,394,807
4,0,332,546
4,1,261,459
4,2,519,804
4,3,228,364
4,4,311,546
4,5,217,476
4,6,74,337
4,7,46,783
4,8,153,335
4,9,302,643
4,10,349,581
4,11,637,817
4,12,3,930
4,13,11,647
4,14,390,834
# Tariff
# Time,MinTariff,MaxTariff
0,685,785
1,643,819
2,11,273
3,71,994
4,482,702
5,448,504
6,306,408
7,263,398
8,95,240
9,312,987
10,295,838
11,137,335
12,266,822
13,160,378
14,165,956
#Utilities
# Consumer,Time,MinUtil,MaxUtil
0,0,572,923
0,1,290,422
0,2,275,537
0,3,577,901
0,4,377,760
0,5,756,886
0,6,684,841
0,7,103,526
0,8,234,385
0,9,136,497
0,10,328,685
0,11,292,775
0,12,582,930
0,13,43,171
0,14,660,769
1,0,340,856
1,1,631,712
1,2,673,751
1,3,670,966
1,4,3,805
1,5,339,444
1,6,551,675
1,7,294,453
1,8,137,301
1,9,263,778
1,10,370,993
1,11,245,994
1,12,104,551
1,13,358,822
1,14,284,649
2,0,8,628
2,1,451,768
2,2,187,746
2,3,299,394
2,4,503,684
2,5,516,830
2,6,438,644
2,7,356,991
2,8,217,419
2,9,186,976
2,10,61,513
2,11,324,328
2,12,98,344
2,13,349,986
2,14,38,901
3,0,373,480
3,1,346,432
3,2,322,890
3,3,87,765
3,4,272,798
3,5,704,882
3,6,698,834
3,7,459,989
3,8,294,589
3,9,354,373
3,10,321,789
3,11,214,274
3,12,184,296
3,13,330,575
3,14,194,343
4,0,13,727
4,1,721,807
4,2,261,335
4,3,358,770
4,4,544,732
4,5,119,900
4,6,271,885
4,7,883,948
4,8,114,236
4,9,65,67
4,10,560,823
4,11,264,799
4,12,281,766
4,13,386,838
4,14,132,854
# Tariff inequalities: SUM(coeff_t * tariff_t) <= const
# TariffIneqID,Constant,Coeff0,Coeff1,...,Coeff_nTime-1
0,26297,4,10,9,7,2,5,8,7,9,6,8,3,3,8,5
# Utility inequalities: SUM(coeff_it * util_it) <= const
# UtilityIneqID,Constant,Coeff_C0T0,Coeff_C0T1,...Coeff_C0T(nTime-1),Coeff_C1T0,Coeff_C1T1,...
0,248821,6,0,2,7,10,7,1,6,2,5,3,1,4,8,4,6,1,5,7,7,7,10,0,8,8,9,0,8,7,2,5,5,2,0,9,3,10,4,4,2,1,7,3,10,4,7,5,8,0,3,8,7,5,3,3,6,2,1,7,5,0,4,4,10,6,10,7,5,8,1,0,0,2,8,5
