# nConsumer,nTime,nTariffIneq,nUtilIneq
10,10,1,10
# Wholesale prices
# Time,Price
0,493
1,182
2,324
3,176
4,449
5,209
6,444
7,422
8,381
9,410
# Total load
# Consumer,MinTotal,MaxTotal
0,4048,5330
1,5480,6680
2,4360,4736
3,3774,4848
4,4356,6130
5,5040,7013
6,4036,4621
7,6174,7258
8,5178,5448
9,4438,4802
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,315,366
0,1,206,218
0,2,491,984
0,3,477,585
0,4,180,894
0,5,8,68
0,6,866,873
0,7,89,728
0,8,496,532
0,9,330,525
1,0,613,621
1,1,390,715
1,2,250,819
1,3,435,535
1,4,936,958
1,5,346,655
1,6,540,985
1,7,219,691
1,8,227,469
1,9,316,882
2,0,646,695
2,1,15,133
2,2,571,807
2,3,86,362
2,4,598,940
2,5,274,423
2,6,387,811
2,7,507,552
2,8,72,467
2,9,473,647
3,0,273,622
3,1,370,618
3,2,16,417
3,3,566,976
3,4,192,974
3,5,554,683
3,6,314,919
3,7,469,907
3,8,697,920
3,9,308,768
4,0,257,359
4,1,82,418
4,2,257,873
4,3,511,711
4,4,637,960
4,5,658,895
4,6,295,455
4,7,58,120
4,8,562,669
4,9,197,787
5,0,498,670
5,1,44,765
5,2,527,885
5,3,897,900
5,4,146,571
5,5,325,874
5,6,515,558
5,7,387,675
5,8,230,345
5,9,694,789
6,0,199,656
6,1,41,506
6,2,380,643
6,3,262,863
6,4,796,963
6,5,6,981
6,6,534,669
6,7,168,980
6,8,76,628
6,9,198,571
7,0,615,891
7,1,140,807
7,2,643,973
7,3,441,580
7,4,520,905
7,5,221,786
7,6,801,832
7,7,441,508
7,8,6,566
7,9,552,554
8,0,158,223
8,1,277,405
8,2,518,736
8,3,632,908
8,4,417,709
8,5,853,888
8,6,275,418
8,7,421,663
8,8,293,343
8,9,549,655
9,0,328,788
9,1,151,444
9,2,706,708
9,3,4,464
9,4,257,264
9,5,719,733
9,6,117,321
9,7,87,443
9,8,0,982
9,9,353,399
# Tariff
# Time,MinTariff,MaxTariff
0,282,479
1,100,271
2,283,818
3,120,382
4,112,764
5,231,253
6,210,863
7,541,841
8,562,607
9,725,980
#Utilities
# Consumer,Time,MinUtil,MaxUtil
0,0,173,295
0,1,277,877
0,2,336,870
0,3,339,925
0,4,707,895
0,5,811,911
0,6,28,853
0,7,444,660
0,8,712,873
0,9,66,531
1,0,261,432
1,1,756,805
1,2,739,747
1,3,186,917
1,4,366,734
1,5,886,963
1,6,21,59
1,7,705,969
1,8,307,893
1,9,629,742
2,0,182,715
2,1,15,695
2,2,148,865
2,3,376,820
2,4,258,853
2,5,295,610
2,6,336,680
2,7,233,664
2,8,142,179
2,9,15,349
3,0,366,453
3,1,245,511
3,2,388,515
3,3,429,593
3,4,341,676
3,5,126,159
3,6,645,944
3,7,11,879
3,8,380,877
3,9,712,903
4,0,345,522
4,1,78,433
4,2,233,887
4,3,572,718
4,4,65,579
4,5,140,301
4,6,755,991
4,7,568,900
4,8,193,408
4,9,192,372
5,0,879,996
5,1,340,921
5,2,867,998
5,3,17,691
5,4,214,382
5,5,695,789
5,6,758,799
5,7,281,938
5,8,350,546
5,9,141,730
6,0,38,841
6,1,318,678
6,2,40,697
6,3,695,735
6,4,111,934
6,5,711,804
6,6,373,448
6,7,453,472
6,8,102,602
6,9,239,708
7,0,406,760
7,1,284,819
7,2,479,827
7,3,446,824
7,4,104,877
7,5,570,655
7,6,882,892
7,7,213,246
7,8,50,229
7,9,478,820
8,0,726,824
8,1,449,798
8,2,847,869
8,3,191,962
8,4,709,753
8,5,312,376
8,6,212,579
8,7,93,279
8,8,772,797
8,9,802,996
9,0,69,896
9,1,170,550
9,2,30,933
9,3,637,644
9,4,519,660
9,5,1,656
9,6,548,728
9,7,296,847
9,8,669,992
9,9,448,728
# Tariff inequalities: SUM(coeff_t * tariff_t) <= const
# TariffIneqID,Constant,Coeff0,Coeff1,...,Coeff_nTime-1
0,19084,7,0,7,8,10,8,8,2,5,1
# Utility inequalities: SUM(coeff_it * util_it) <= const
# UtilityIneqID,Constant,Coeff_C0T0,Coeff_C0T1,...Coeff_C0T(nTime-1),Coeff_C1T0,Coeff_C1T1,...
