# nConsumer,nTime,nTariffIneq,nUtilIneq
5,15,1,5
# Wholesale prices
# Time,Price
0,155
1,240
2,189
3,423
4,268
5,56
6,338
7,405
8,48
9,182
10,178
11,230
12,200
13,379
14,200
# Total load
# Consumer,MinTotal,MaxTotal
0,7115,7523
1,8152,8828
2,8199,10246
3,6414,8548
4,8640,9416
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,750,777
0,1,173,258
0,2,409,738
0,3,237,448
0,4,935,994
0,5,46,546
0,6,758,790
0,7,360,366
0,8,569,889
0,9,376,820
0,10,400,441
0,11,552,586
0,12,532,643
0,13,231,652
0,14,432,486
1,0,226,453
1,1,116,907
1,2,653,962
1,3,143,663
1,4,272,747
1,5,110,565
1,6,565,626
1,7,24,437
1,8,658,916
1,9,748,785
1,10,380,966
1,11,248,293
1,12,127,997
1,13,736,998
1,14,37,50
2,0,280,666
2,1,368,474
2,2,61,634
2,3,487,947
2,4,36,997
2,5,310,501
2,6,348,810
2,7,251,569
2,8,58,564
2,9,685,796
2,10,235,289
2,11,773,805
2,12,550,750
2,13,414,968
2,14,391,856
3,0,25,664
3,1,309,348
3,2,413,874
3,3,469,847
3,4,179,689
3,5,342,366
3,6,214,704
3,7,495,568
3,8,152,461
3,9,390,617
3,10,497,832
3,11,156,959
3,12,99,824
3,13,653,925
3,14,688,763
4,0,463,635
4,1,785,927
4,2,440,579
4,3,310,933
4,4,56,926
4,5,530,697
4,6,261,941
4,7,353,463
4,8,503,622
4,9,363,864
4,10,149,972
4,11,680,951
4,12,206,519
4,13,217,260
4,14,307,692
# Tariff
# Time,MinTariff,MaxTariff
0,492,558
1,180,845
2,633,810
3,480,787
4,141,316
5,331,760
6,67,799
7,164,957
8,436,898
9,178,313
10,64,126
11,582,668
12,494,653
13,292,582
14,290,933
#Utilities
# Consumer,Time,MinUtil,MaxUtil
0,0,831,915
0,1,347,472
0,2,171,783
0,3,656,925
0,4,63,653
0,5,22,842
0,6,156,827
0,7,92,276
0,8,272,614
0,9,104,993
0,10,233,438
0,11,653,725
0,12,717,891
0,13,894,948
0,14,139,448
1,0,360,776
1,1,103,150
1,2,159,586
1,3,236,709
1,4,823,874
1,5,478,597
1,6,112,801
1,7,584,799
1,8,84,496
1,9,455,481
1,10,408,584
1,11,49,95
1,12,490,771
1,13,33,591
1,14,119,585
2,0,245,875
2,1,176,587
2,2,358,889
2,3,864,981
2,4,442,840
2,5,20,780
2,6,637,766
2,7,408,790
2,8,655,965
2,9,32,450
2,10,238,558
2,11,28,108
2,12,273,445
2,13,374,813
2,14,79,161
3,0,105,359
3,1,407,916
3,2,386,831
3,3,340,485
3,4,157,317
3,5,140,741
3,6,495,543
3,7,896,939
3,8,91,164
3,9,156,299
3,10,215,550
3,11,512,546
3,12,20,710
3,13,408,695
3,14,68,732
4,0,450,878
4,1,338,758
4,2,145,640
4,3,254,700
4,4,273,964
4,5,95,626
4,6,550,833
4,7,455,640
4,8,727,981
4,9,338,970
4,10,113,840
4,11,586,884
4,12,723,724
4,13,395,649
4,14,30,866
# Tariff inequalities: SUM(coeff_t * tariff_t) <= const
# TariffIneqID,Constant,Coeff0,Coeff1,...,Coeff_nTime-1
0,25994,2,5,5,0,5,4,5,7,3,8,3,3,6,0,8
# Utility inequalities: SUM(coeff_it * util_it) <= const
# UtilityIneqID,Constant,Coeff_C0T0,Coeff_C0T1,...Coeff_C0T(nTime-1),Coeff_C1T0,Coeff_C1T1,...
0,37158,2,8,10,9,0,4,5,3,10,6,2,0,6,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,8,10,1,3,5,8,7,8,0,9,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,28935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,10,4,7,5,3,5,4,3,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,26941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,7,10,3,2,3,9,3,3,1,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,35602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,9,10,1,2,1,10,6,0,1,4,3,8,2
