# nConsumer,nTime,nTariffIneq,nUtilIneq
15,15,1,1
# Wholesale prices
# Time,Price
0,164
1,463
2,116
3,33
4,309
5,99
6,300
7,168
8,135
9,417
10,253
11,291
12,155
13,365
14,438
# Total load
# Consumer,MinTotal,MaxTotal
0,6407,9737
1,4663,7329
2,5982,8560
3,5572,9862
4,7961,9266
5,4678,8173
6,5885,7721
7,4656,9719
8,6020,7725
9,9017,10970
10,7271,11113
11,7423,8092
12,6041,9910
13,5694,6619
14,6116,10736
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,86,298
0,1,369,890
0,2,106,907
0,3,126,277
0,4,711,714
0,5,56,826
0,6,237,583
0,7,291,306
0,8,270,637
0,9,463,819
0,10,546,993
0,11,683,971
0,12,688,900
0,13,306,328
0,14,516,830
1,0,100,689
1,1,484,497
1,2,160,517
1,3,362,408
1,4,721,940
1,5,422,815
1,6,0,319
1,7,146,512
1,8,125,206
1,9,696,977
1,10,274,712
1,11,42,669
1,12,405,419
1,13,368,939
1,14,413,786
2,0,577,607
2,1,168,467
2,2,640,998
2,3,10,775
2,4,62,292
2,5,343,769
2,6,165,220
2,7,543,939
2,8,59,183
2,9,567,858
2,10,397,988
2,11,923,983
2,12,511,688
2,13,446,636
2,14,668,932
3,0,862,954
3,1,72,388
3,2,252,305
3,3,141,909
3,4,293,850
3,5,347,769
3,6,569,696
3,7,78,895
3,8,202,246
3,9,633,645
3,10,76,969
3,11,543,608
3,12,546,607
3,13,20,384
3,14,886,900
4,0,167,287
4,1,166,912
4,2,648,914
4,3,623,885
4,4,641,852
4,5,367,374
4,6,142,368
4,7,600,657
4,8,195,606
4,9,305,952
4,10,82,891
4,11,133,525
4,12,480,982
4,13,219,420
4,14,593,814
5,0,407,578
5,1,90,255
5,2,477,582
5,3,210,811
5,4,15,705
5,5,90,793
5,6,172,376
5,7,447,555
5,8,285,887
5,9,863,992
5,10,82,953
5,11,122,357
5,12,152,477
5,13,115,607
5,14,590,886
6,0,199,239
6,1,535,929
6,2,889,961
6,3,141,734
6,4,48,286
6,5,368,429
6,6,688,748
6,7,11,754
6,8,327,541
6,9,219,753
6,10,72,855
6,11,229,947
6,12,487,760
6,13,14,206
6,14,273,310
7,0,449,759
7,1,122,567
7,2,145,947
7,3,517,579
7,4,611,707
7,5,139,748
7,6,337,428
7,7,344,511
7,8,409,811
7,9,368,739
7,10,218,909
7,11,135,577
7,12,140,255
7,13,342,723
7,14,93,858
8,0,15,415
8,1,74,308
8,2,361,683
8,3,522,949
8,4,831,898
8,5,341,762
8,6,107,199
8,7,145,675
8,8,451,843
8,9,365,534
8,10,367,692
8,11,109,622
8,12,77,301
8,13,94,514
8,14,414,567
9,0,116,799
9,1,79,344
9,2,299,959
9,3,896,973
9,4,716,857
9,5,729,760
9,6,579,580
9,7,262,997
9,8,703,806
9,9,511,645
9,10,91,991
9,11,580,939
9,12,135,857
9,13,156,735
9,14,686,748
10,0,104,763
10,1,338,900
10,2,208,625
10,3,385,506
10,4,610,924
10,5,319,468
10,6,444,553
10,7,659,906
10,8,874,903
10,9,465,964
10,10,654,754
10,11,923,963
10,12,455,505
10,13,71,842
10,14,433,640
11,0,845,870
11,1,507,824
11,2,10,305
11,3,328,906
11,4,269,759
11,5,433,853
11,6,248,378
11,7,40,313
11,8,350,670
11,9,170,322
11,10,6,962
11,11,125,931
11,12,310,466
11,13,140,432
11,14,309,823
12,0,122,877
12,1,115,192
12,2,633,751
12,3,852,948
12,4,178,420
12,5,135,140
12,6,18,115
12,7,200,992
12,8,372,831
12,9,276,924
12,10,138,632
12,11,803,968
12,12,193,775
12,13,171,670
12,14,407,736
13,0,205,236
13,1,791,899
13,2,65,104
13,3,331,590
13,4,156,383
13,5,243,243
13,6,42,453
13,7,73,478
13,8,135,647
13,9,620,912
13,10,249,624
13,11,903,986
13,12,418,824
13,13,48,232
13,14,31,600
14,0,790,996
14,1,693,755
14,2,854,923
14,3,442,848
14,4,109,929
14,5,479,763
14,6,158,640
14,7,202,639
14,8,339,926
14,9,316,988
14,10,380,675
14,11,319,409
14,12,40,740
14,13,375,797
14,14,89,781
# Tariff
# Time,MinTariff,MaxTariff
0,27,231
1,99,859
2,520,726
3,693,900
4,91,987
5,262,456
6,188,929
7,248,797
8,24,749
9,638,770
10,7,74
11,563,617
12,48,115
13,511,957
14,560,886
#Utilities
# Consumer,Time,MinUtil,MaxUtil
0,0,85,290
0,1,347,917
0,2,408,939
0,3,421,527
0,4,346,473
0,5,244,785
0,6,125,770
0,7,79,932
0,8,770,801
0,9,71,980
0,10,517,746
0,11,728,788
0,12,301,928
0,13,110,208
0,14,139,909
1,0,421,635
1,1,432,812
1,2,281,303
1,3,14,16
1,4,751,930
1,5,76,530
1,6,152,637
1,7,386,920
1,8,377,755
1,9,46,346
1,10,264,431
1,11,581,929
1,12,178,252
1,13,624,905
1,14,62,708
2,0,199,268
2,1,783,819
2,2,133,911
2,3,93,425
2,4,905,960
2,5,94,827
2,6,182,772
2,7,572,787
2,8,310,871
2,9,154,653
2,10,55,308
2,11,373,949
2,12,146,250
2,13,145,905
2,14,80,142
3,0,191,291
3,1,489,551
3,2,451,524
3,3,547,658
3,4,264,286
3,5,567,788
3,6,40,933
3,7,286,394
3,8,165,821
3,9,3,576
3,10,300,372
3,11,727,918
3,12,204,840
3,13,173,770
3,14,214,781
4,0,546,794
4,1,524,570
4,2,404,876
4,3,241,743
4,4,123,261
4,5,69,210
4,6,558,755
4,7,411,733
4,8,94,220
4,9,654,789
4,10,73,91
4,11,115,395
4,12,96,479
4,13,397,866
4,14,403,614
5,0,559,735
5,1,128,827
5,2,74,709
5,3,368,870
5,4,735,885
5,5,9,137
5,6,142,473
5,7,701,962
5,8,636,746
5,9,341,996
5,10,447,695
5,11,213,760
5,12,667,675
5,13,767,996
5,14,636,695
6,0,652,995
6,1,29,750
6,2,50,790
6,3,557,833
6,4,95,355
6,5,619,679
6,6,213,332
6,7,338,905
6,8,585,667
6,9,125,567
6,10,299,769
6,11,66,927
6,12,294,457
6,13,759,831
6,14,429,958
7,0,353,984
7,1,44,378
7,2,114,599
7,3,566,801
7,4,267,775
7,5,98,906
7,6,60,719
7,7,347,678
7,8,531,617
7,9,178,990
7,10,599,994
7,11,645,806
7,12,319,606
7,13,242,782
7,14,221,814
8,0,196,370
8,1,166,607
8,2,256,377
8,3,17,328
