# nConsumer,nTime,nTariffIneq,nUtilIneq
10,10,1,1
# Wholesale prices
# Time,Price
0,370
1,207
2,377
3,145
4,19
5,353
6,61
7,7
8,369
9,493
# Total load
# Consumer,MinTotal,MaxTotal
0,2877,3677
1,5097,7471
2,3338,5683
3,4741,5333
4,5399,6503
5,3728,3952
6,4193,6015
7,3888,6591
8,3945,4455
9,4124,6188
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,207,709
0,1,322,346
0,2,11,186
0,3,389,926
0,4,451,916
0,5,106,485
0,6,74,76
0,7,308,439
0,8,37,865
0,9,337,775
1,0,5,729
1,1,301,435
1,2,284,584
1,3,46,909
1,4,384,819
1,5,541,777
1,6,511,860
1,7,518,871
1,8,595,734
1,9,492,858
2,0,311,783
2,1,58,357
2,2,655,728
2,3,455,485
2,4,247,471
2,5,155,700
2,6,65,957
2,7,386,706
2,8,753,821
2,9,165,925
3,0,40,609
3,1,163,912
3,2,357,861
3,3,54,428
3,4,22,507
3,5,121,989
3,6,536,788
3,7,335,753
3,8,320,477
3,9,230,766
4,0,383,994
4,1,733,908
4,2,128,298
4,3,23,670
4,4,392,768
4,5,578,591
4,6,813,816
4,7,542,560
4,8,237,259
4,9,447,604
5,0,420,986
5,1,301,970
5,2,400,944
5,3,75,214
5,4,164,359
5,5,763,960
5,6,453,700
5,7,272,910
5,8,180,803
5,9,495,987
6,0,31,74
6,1,186,277
6,2,306,660
6,3,202,268
6,4,135,930
6,5,379,980
6,6,488,809
6,7,710,901
6,8,849,862
6,9,82,329
7,0,802,828
7,1,241,445
7,2,100,551
7,3,124,467
7,4,525,891
7,5,643,718
7,6,322,986
7,7,75,288
7,8,300,693
7,9,600,652
8,0,566,597
8,1,155,811
8,2,26,468
8,3,227,648
8,4,357,776
8,5,22,849
8,6,363,757
8,7,383,649
8,8,350,968
8,9,477,764
9,0,203,870
9,1,813,918
9,2,262,530
9,3,29,664
9,4,304,882
9,5,497,894
9,6,298,999
9,7,40,389
9,8,17,878
9,9,314,481
# Tariff
# Time,MinTariff,MaxTariff
0,111,684
1,5,88
2,230,242
3,637,770
4,626,731
5,254,965
6,471,862
7,427,518
8,114,341
9,108,873
#Utilities
# Consumer,Time,MinUtil,MaxUtil
0,0,234,448
0,1,237,367
0,2,443,467
0,3,143,932
0,4,107,573
0,5,67,330
0,6,189,625
0,7,823,967
0,8,201,922
0,9,289,427
1,0,448,734
1,1,133,163
1,2,111,298
1,3,312,822
1,4,382,482
1,5,521,927
1,6,55,133
1,7,235,659
1,8,207,451
1,9,430,561
2,0,184,627
2,1,132,915
2,2,686,899
2,3,632,731
2,4,160,945
2,5,650,741
2,6,249,740
2,7,59,525
2,8,132,797
2,9,148,314
3,0,468,540
3,1,756,878
3,2,13,715
3,3,102,878
3,4,391,544
3,5,13,794
3,6,693,986
3,7,13,865
3,8,326,572
3,9,516,538
4,0,117,849
4,1,163,629
4,2,17,351
4,3,155,429
4,4,474,666
4,5,49,410
4,6,240,692
4,7,605,901
4,8,617,927
4,9,261,753
5,0,797,869
5,1,12,803
5,2,504,714
5,3,138,746
5,4,159,973
5,5,66,753
5,6,618,801
5,7,182,215
5,8,408,558
5,9,63,66
6,0,145,529
6,1,25,502
6,2,525,641
6,3,255,665
6,4,398,458
6,5,873,930
6,6,341,363
6,7,351,805
6,8,90,456
6,9,91,848
7,0,55,757
7,1,42,694
7,2,828,914
7,3,441,978
7,4,162,641
7,5,491,915
7,6,143,258
7,7,338,599
7,8,628,881
7,9,255,924
8,0,153,706
8,1,16,109
8,2,737,767
8,3,223,593
8,4,313,741
8,5,5,675
8,6,35,35
8,7,244,842
8,8,545,751
8,9,8,708
9,0,441,959
9,1,107,339
9,2,281,964
9,3,986,993
9,4,34,717
9,5,470,580
9,6,235,592
9,7,400,998
9,8,32,875
9,9,72,485
# Tariff inequalities: SUM(coeff_t * tariff_t) <= const
# TariffIneqID,Constant,Coeff0,Coeff1,...,Coeff_nTime-1
0,26704,4,0,8,2,4,5,8,9,1,5
# Utility inequalities: SUM(coeff_it * util_it) <= const
# UtilityIneqID,Constant,Coeff_C0T0,Coeff_C0T1,...Coeff_C0T(nTime-1),Coeff_C1T0,Coeff_C1T1,...
0,156050,5,4,6,9,6,5,5,4,7,8,2,2,0,8,2,4,8,6,7,0,0,10,2,9,6,10,0,4,9,3,7,7,3,3,6,0,3,1,9,7,10,1,7,10,6,10,5,9,4,7,0,4,10,8,0,8,7,1,10,10,1,10,3,1,4,4,10,10,10,9,0,10,6,8,5,0,7,9,7,2,2,2,2,3,0,2,7,5,4,9,10,6,6,0,1,6,9,2,2,7
