# nConsumer,nTime,nTariffIneq,nUtilIneq
5,5,1,5
# Wholesale prices
# Time,Price
0,323
1,205
2,82
3,303
4,195
# Total load
# Consumer,MinTotal,MaxTotal
0,2997,3260
1,1293,2324
2,2642,2954
3,2798,3131
4,2200,3096
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,651,850
0,1,474,938
0,2,425,690
0,3,242,747
0,4,651,766
1,0,74,360
1,1,338,408
1,2,552,574
1,3,228,855
1,4,138,961
2,0,249,964
2,1,79,102
2,2,368,982
2,3,624,974
2,4,363,688
3,0,487,944
3,1,577,593
3,2,233,377
3,3,551,742
3,4,285,947
4,0,87,679
4,1,707,902
4,2,349,640
4,3,215,657
4,4,615,641
# Tariff
# Time,MinTariff,MaxTariff
0,321,950
1,360,467
2,272,690
3,82,845
4,425,792
#Utilities
# Consumer,Time,MinUtil,MaxUtil
0,0,193,644
0,1,207,514
0,2,425,820
0,3,38,212
0,4,333,532
1,0,257,586
1,1,678,855
1,2,616,677
1,3,265,912
1,4,740,791
2,0,435,875
2,1,200,536
2,2,641,974
2,3,430,891
2,4,264,643
3,0,352,980
3,1,62,298
3,2,508,875
3,3,359,757
3,4,198,848
4,0,52,840
4,1,94,538
4,2,200,424
4,3,327,648
4,4,295,626
# Tariff inequalities: SUM(coeff_t * tariff_t) <= const
# TariffIneqID,Constant,Coeff0,Coeff1,...,Coeff_nTime-1
0,14940,7,7,6,10,7
# Utility inequalities: SUM(coeff_it * util_it) <= const
# UtilityIneqID,Constant,Coeff_C0T0,Coeff_C0T1,...Coeff_C0T(nTime-1),Coeff_C1T0,Coeff_C1T1,...
0,21370,9,9,10,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27327,0,0,0,0,0,8,8,7,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8770,0,0,0,0,0,0,0,0,0,0,10,1,0,5,6,0,0,0,0,0,0,0,0,0,0
3,19592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,5,8,0,0,0,0,0
4,20974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,8,8
