# nConsumer,nTime,nTariffIneq,nUtilIneq
5,10,1,1
# Wholesale prices
# Time,Price
0,142
1,362
2,351
3,25
4,91
5,178
6,108
7,147
8,464
9,133
# Total load
# Consumer,MinTotal,MaxTotal
0,2412,3651
1,3802,6553
2,3346,4563
3,2143,5419
4,3049,4680
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,156,352
0,1,88,394
0,2,134,164
0,3,431,688
0,4,67,368
0,5,15,244
0,6,174,512
0,7,234,259
0,8,163,666
0,9,510,971
1,0,288,341
1,1,117,785
1,2,106,794
1,3,740,831
1,4,200,537
1,5,202,426
1,6,713,987
1,7,286,546
1,8,75,765
1,9,76,901
2,0,190,692
2,1,402,502
2,2,353,522
2,3,117,677
2,4,768,998
2,5,457,735
2,6,23,263
2,7,222,942
2,8,281,603
2,9,271,612
3,0,290,798
3,1,170,499
3,2,11,562
3,3,27,836
3,4,213,791
3,5,196,965
3,6,66,760
3,7,211,861
3,8,4,650
3,9,296,582
4,0,210,637
4,1,1,204
4,2,109,909
4,3,301,471
4,4,78,219
4,5,195,578
4,6,216,263
4,7,154,796
4,8,569,926
4,9,419,946
# Tariff
# Time,MinTariff,MaxTariff
0,350,580
1,487,593
2,336,978
3,646,699
4,2,733
5,312,805
6,339,942
7,153,650
8,84,256
9,20,384
#Utilities
# Consumer,Time,MinUtil,MaxUtil
0,0,71,681
0,1,211,600
0,2,161,922
0,3,537,943
0,4,763,910
0,5,190,576
0,6,627,884
0,7,657,966
0,8,110,797
0,9,145,560
1,0,546,678
1,1,253,296
1,2,385,390
1,3,120,844
1,4,280,993
1,5,690,789
1,6,335,403
1,7,763,927
1,8,533,593
1,9,266,921
2,0,266,889
2,1,413,968
2,2,355,965
2,3,250,934
2,4,27,199
2,5,473,577
2,6,393,422
2,7,118,956
2,8,395,497
2,9,380,916
3,0,545,968
3,1,349,668
3,2,533,732
3,3,292,932
3,4,517,931
3,5,219,300
3,6,889,973
3,7,576,656
3,8,252,903
3,9,13,809
4,0,891,945
4,1,516,764
4,2,578,632
4,3,373,530
4,4,133,500
4,5,815,989
4,6,57,606
4,7,717,766
4,8,281,937
4,9,83,307
# Tariff inequalities: SUM(coeff_t * tariff_t) <= const
# TariffIneqID,Constant,Coeff0,Coeff1,...,Coeff_nTime-1
0,28465,7,6,10,1,1,4,4,3,9,7
# Utility inequalities: SUM(coeff_it * util_it) <= const
# UtilityIneqID,Constant,Coeff_C0T0,Coeff_C0T1,...Coeff_C0T(nTime-1),Coeff_C1T0,Coeff_C1T1,...
0,151465,2,0,2,7,6,3,8,3,1,8,5,0,9,5,4,1,10,4,1,3,6,4,9,7,9,6,0,9,6,9,10,1,3,8,8,0,6,10,7,4,2,8,0,10,6,9,5,4,3,10
