# nConsumer,nTime,nTariffIneq,nUtilIneq
15,15,1,15
# Wholesale prices
# Time,Price
0,37
1,67
2,241
3,240
4,199
5,297
6,375
7,289
8,128
9,64
10,355
11,106
12,353
13,368
14,5
# Total load
# Consumer,MinTotal,MaxTotal
0,8500,9388
1,5791,7195
2,4579,5520
3,7509,9989
4,9449,10897
5,7044,7928
6,3825,7956
7,5606,6436
8,5397,10295
9,4153,6341
10,6869,9841
11,8659,9871
12,9344,9642
13,7134,9003
14,7308,8967
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,142,172
0,1,555,701
0,2,636,887
0,3,341,863
0,4,447,953
0,5,357,760
0,6,477,675
0,7,115,767
0,8,636,886
0,9,116,239
0,10,929,995
0,11,29,961
0,12,141,790
0,13,286,557
0,14,95,429
1,0,213,688
1,1,11,905
1,2,541,667
1,3,219,567
1,4,769,855
1,5,66,229
1,6,294,487
1,7,14,831
1,8,310,429
1,9,630,759
1,10,122,984
1,11,378,947
1,12,517,599
1,13,566,707
1,14,748,775
2,0,60,428
2,1,344,347
2,2,409,617
2,3,178,368
2,4,218,599
2,5,577,806
2,6,255,606
2,7,242,723
2,8,814,858
2,9,67,415
2,10,74,196
2,11,166,683
2,12,377,949
2,13,17,898
2,14,341,672
3,0,199,387
3,1,128,145
3,2,9,451
3,3,431,534
3,4,200,692
3,5,109,842
3,6,77,725
3,7,171,514
3,8,360,567
3,9,394,799
3,10,79,975
3,11,751,959
3,12,896,930
3,13,393,716
3,14,167,729
4,0,580,667
4,1,889,997
4,2,703,961
4,3,511,886
4,4,799,991
4,5,471,939
4,6,135,712
4,7,735,905
4,8,192,686
4,9,763,795
4,10,338,559
4,11,208,235
4,12,232,506
4,13,408,610
4,14,319,931
5,0,203,444
5,1,480,659
5,2,13,903
5,3,465,794
5,4,654,943
5,5,156,923
5,6,386,505
5,7,71,784
5,8,640,860
5,9,870,953
5,10,507,584
5,11,229,305
5,12,906,951
5,13,269,670
5,14,853,963
6,0,265,378
6,1,40,581
6,2,110,670
6,3,322,385
6,4,136,962
6,5,125,365
6,6,310,820
6,7,140,321
6,8,589,823
6,9,122,600
6,10,153,192
6,11,378,633
6,12,416,948
6,13,97,420
6,14,135,308
7,0,18,592
7,1,966,992
7,2,228,372
7,3,63,924
7,4,96,632
7,5,552,803
7,6,588,775
7,7,598,670
7,8,407,433
7,9,205,970
7,10,744,899
7,11,104,947
7,12,331,396
7,13,383,895
7,14,211,243
8,0,453,678
8,1,73,562
8,2,108,647
8,3,281,912
8,4,175,249
8,5,348,903
8,6,563,824
8,7,48,884
8,8,31,840
8,9,380,996
8,10,228,755
8,11,495,923
8,12,442,571
8,13,242,929
8,14,479,959
9,0,404,640
9,1,202,470
9,2,67,339
9,3,256,988
9,4,675,759
9,5,319,866
9,6,10,40
9,7,359,375
9,8,89,661
9,9,101,882
9,10,71,81
9,11,642,923
9,12,274,432
9,13,540,897
9,14,232,853
10,0,695,964
10,1,21,365
10,2,525,849
10,3,577,680
10,4,600,878
10,5,717,840
10,6,49,427
10,7,29,692
10,8,975,996
10,9,270,405
10,10,308,633
10,11,121,748
10,12,510,925
10,13,583,722
10,14,279,990
11,0,509,646
11,1,282,387
11,2,156,344
11,3,318,925
11,4,756,818
11,5,725,779
11,6,594,850
11,7,7,319
11,8,546,674
11,9,810,836
11,10,713,954
11,11,41,874
11,12,604,610
11,13,538,924
11,14,160,749
12,0,296,539
12,1,204,283
12,2,125,542
12,3,475,601
12,4,439,625
12,5,220,424
12,6,618,713
12,7,224,914
12,8,756,921
12,9,5,882
12,10,348,944
12,11,80,834
12,12,256,345
12,13,557,739
12,14,511,664
13,0,738,1000
13,1,709,738
13,2,335,711
13,3,760,857
13,4,203,775
13,5,463,809
13,6,363,906
13,7,343,596
13,8,582,819
13,9,616,924
13,10,14,89
13,11,328,567
13,12,700,908
13,13,664,904
13,14,245,516
14,0,832,999
14,1,770,908
14,2,761,786
14,3,377,500
14,4,246,990
14,5,186,203
14,6,528,977
14,7,293,621
14,8,898,958
14,9,342,361
14,10,45,499
14,11,44,213
14,12,113,900
14,13,334,991
14,14,517,744
# Tariff
# Time,MinTariff,MaxTariff
0,91,525
1,115,395
2,96,982
3,219,420
4,814,866
5,403,614
6,407,532
7,559,735
8,90,827
9,477,582
10,74,811
11,368,870
12,15,885
13,90,793
