# nConsumer,nTime,nTariffIneq,nUtilIneq
10,15,1,1
# Wholesale prices
# Time,Price
0,325
1,35
2,488
3,43
4,268
5,307
6,398
7,215
8,342
9,321
10,320
11,221
12,130
13,481
14,146
# Total load
# Consumer,MinTotal,MaxTotal
0,4006,5363
1,4896,9770
2,5979,8473
3,7455,8949
4,5637,8123
5,5358,6477
6,6183,9931
7,6996,7831
8,7338,8123
9,5536,6405
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,75,727
0,1,211,281
0,2,536,563
0,3,433,918
0,4,120,695
0,5,416,684
0,6,280,305
0,7,166,255
0,8,413,772
0,9,94,932
0,10,187,897
0,11,57,146
0,12,70,124
0,13,542,625
0,14,24,525
1,0,245,721
1,1,346,702
1,2,312,425
1,3,989,997
1,4,271,915
1,5,156,294
1,6,102,724
1,7,367,729
1,8,52,827
1,9,566,890
1,10,231,428
1,11,464,577
1,12,183,785
1,13,262,536
1,14,291,775
2,0,562,865
2,1,666,718
2,2,377,550
2,3,30,651
2,4,406,726
2,5,270,363
2,6,104,905
2,7,184,287
2,8,110,148
2,9,732,921
2,10,230,336
2,11,448,820
2,12,443,967
2,13,483,560
2,14,397,513
3,0,487,641
3,1,424,801
3,2,183,469
3,3,87,910
3,4,648,976
3,5,95,242
3,6,746,829
3,7,427,428
3,8,123,777
3,9,42,633
3,10,399,888
3,11,403,670
3,12,401,927
3,13,537,870
3,14,481,689
4,0,731,950
4,1,527,800
4,2,804,903
4,3,405,992
4,4,99,437
4,5,283,957
4,6,292,593
4,7,350,658
4,8,95,328
4,9,101,244
4,10,124,866
4,11,341,371
4,12,554,610
4,13,124,213
4,14,66,121
5,0,268,570
5,1,401,500
5,2,275,307
5,3,66,547
5,4,58,734
5,5,404,793
5,6,351,528
5,7,273,333
5,8,762,886
5,9,53,125
5,10,52,994
5,11,72,324
5,12,79,288
5,13,237,956
5,14,195,333
6,0,127,888
6,1,59,651
6,2,861,889
6,3,87,556
6,4,254,931
6,5,696,712
6,6,641,822
6,7,545,606
6,8,518,640
6,9,131,651
6,10,227,806
6,11,376,750
6,12,464,651
6,13,350,514
6,14,454,722
7,0,606,827
7,1,410,883
7,2,237,480
7,3,84,306
7,4,61,493
7,5,515,984
7,6,142,177
7,7,38,396
7,8,509,618
7,9,533,567
7,10,767,902
7,11,108,391
7,12,145,457
7,13,644,724
7,14,494,547
8,0,131,576
8,1,284,609
8,2,877,979
8,3,15,187
8,4,253,669
8,5,228,529
8,6,513,947
8,7,748,963
8,8,10,589
8,9,315,324
8,10,194,829
8,11,251,676
8,12,279,406
8,13,629,857
8,14,431,548
9,0,94,555
9,1,42,295
9,2,202,718
9,3,310,834
9,4,633,918
9,5,19,547
9,6,744,782
9,7,176,477
9,8,776,899
9,9,387,638
9,10,510,537
9,11,235,631
9,12,604,617
9,13,128,695
9,14,186,711
# Tariff
# Time,MinTariff,MaxTariff
0,774,807
1,304,961
2,678,902
3,33,481
4,181,282
5,294,700
6,56,290
7,227,520
8,518,880
9,361,728
10,105,864
11,59,821
12,451,962
13,20,147
14,144,438
#Utilities
# Consumer,Time,MinUtil,MaxUtil
0,0,697,952
0,1,24,747
0,2,92,866
0,3,369,417
0,4,228,582
0,5,39,237
0,6,469,668
0,7,76,375
0,8,578,674
0,9,461,863
0,10,518,887
0,11,596,829
0,12,257,277
0,13,136,924
0,14,480,583
1,0,730,766
1,1,385,604
1,2,399,926
1,3,190,610
1,4,169,706
1,5,317,803
1,6,949,996
1,7,19,799
1,8,296,668
1,9,15,865
1,10,66,901
1,11,318,692
1,12,2,535
1,13,156,942
1,14,173,420
2,0,101,336
2,1,531,589
2,2,304,551
2,3,616,936
2,4,363,751
2,5,475,977
2,6,103,612
2,7,232,403
2,8,470,560
2,9,228,406
2,10,247,452
2,11,392,776
2,12,134,954
2,13,93,717
2,14,72,519
3,0,278,933
3,1,195,802
3,2,104,147
3,3,56,554
3,4,517,784
3,5,51,570
3,6,304,475
3,7,674,697
3,8,217,900
3,9,53,87
3,10,170,975
3,11,39,669
3,12,466,628
3,13,232,822
3,14,263,539
4,0,628,923
4,1,541,564
4,2,142,746
4,3,658,822
4,4,403,492
4,5,307,675
4,6,105,190
4,7,812,890
4,8,91,150
4,9,254,534
4,10,440,722
4,11,112,553
4,12,438,474
4,13,38,144
4,14,113,625
5,0,459,639
5,1,512,839
5,2,448,628
5,3,489,549
5,4,236,333
5,5,719,834
5,6,263,481
5,7,343,942
5,8,271,358
5,9,681,685
5,10,311,766
5,11,885,916
5,12,647,996
5,13,495,629
5,14,516,594
6,0,156,491
6,1,621,731
6,2,148,378
6,3,46,290
6,4,19,712
6,5,876,973
6,6,405,535
6,7,632,985
6,8,84,987
6,9,935,956
6,10,40,326
6,11,316,760
6,12,24,360
6,13,268,578
6,14,181,243
7,0,117,220
7,1,195,922
7,2,183,458
7,3,74,726
7,4,357,986
7,5,157,886
7,6,500,723
7,7,8,733
7,8,21,47
7,9,78,120
7,10,68,769
7,11,98,872
7,12,156,602
7,13,442,825
7,14,144,290
8,0,291,654
8,1,277,462
8,2,184,882
8,3,421,703
8,4,489,647
8,5,605,966
8,6,532,908
8,7,106,465
8,8,392,808
8,9,431,529
8,10,318,936
8,11,476,831
8,12,270,920
8,13,193,591
8,14,525,853
9,0,20,405
9,1,272,502
9,2,96,443
9,3,725,808
9,4,60,593
9,5,159,437
9,6,502,749
9,7,116,158
9,8,626,786
9,9,16,78
9,10,113,780
9,11,758,958
9,12,477,877
9,13,68,892
9,14,148,672
# Tariff inequalities: SUM(coeff_t * tariff_t) <= const
# TariffIneqID,Constant,Coeff0,Coeff1,...,Coeff_nTime-1
