# nConsumer,nTime,nTariffIneq,nUtilIneq
10,10,1,10
# Wholesale prices
# Time,Price
0,81
1,78
2,33
3,370
4,30
5,377
6,463
7,158
8,305
9,271
# Total load
# Consumer,MinTotal,MaxTotal
0,6447,7442
1,4027,6732
2,2738,3258
3,4312,5073
4,4339,6838
5,5285,5880
6,4192,4744
7,4078,4909
8,6531,7470
9,4227,4532
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,756,878
0,1,13,715
0,2,102,878
0,3,391,544
0,4,13,794
0,5,693,986
0,6,13,865
0,7,326,572
0,8,516,538
0,9,383,994
1,0,163,629
1,1,17,351
1,2,155,429
1,3,474,666
1,4,49,410
1,5,240,692
1,6,605,901
1,7,617,927
1,8,261,753
1,9,420,986
2,0,12,803
2,1,504,714
2,2,138,746
2,3,159,973
2,4,66,753
2,5,618,801
2,6,182,215
2,7,408,558
2,8,63,66
2,9,31,74
3,0,25,502
3,1,525,641
3,2,255,665
3,3,398,458
3,4,873,930
3,5,341,363
3,6,351,805
3,7,90,456
3,8,91,848
3,9,802,828
4,0,42,694
4,1,828,914
4,2,441,978
4,3,162,641
4,4,491,915
4,5,143,258
4,6,338,599
4,7,628,881
4,8,255,924
4,9,566,597
5,0,16,109
5,1,737,767
5,2,223,593
5,3,313,741
5,4,5,675
5,5,35,35
5,6,244,842
5,7,545,751
5,8,8,708
5,9,203,870
6,0,107,339
6,1,281,964
6,2,986,993
6,3,34,717
6,4,470,580
6,5,235,592
6,6,400,998
6,7,32,875
6,8,72,485
6,9,74,419
7,0,792,828
7,1,494,760
7,2,612,852
7,3,396,678
7,4,3,211
7,5,368,780
7,6,2,80
7,7,560,829
7,8,386,839
7,9,349,690
8,0,134,820
8,1,123,727
8,2,462,983
8,3,61,656
8,4,12,789
8,5,139,942
8,6,311,987
8,7,407,922
8,8,62,857
8,9,539,740
9,0,198,215
9,1,59,308
9,2,405,514
9,3,554,593
9,4,614,882
9,5,34,638
9,6,35,225
9,7,612,921
9,8,475,918
9,9,659,711
# Tariff
# Time,MinTariff,MaxTariff
0,700,945
1,650,741
2,249,957
3,386,706
4,525,821
5,132,797
6,148,165
7,51,634
8,40,468
9,163,912
#Utilities
# Consumer,Time,MinUtil,MaxUtil
0,0,357,861
0,1,54,428
0,2,22,507
0,3,121,989
0,4,536,788
0,5,335,753
0,6,320,477
0,7,230,766
0,8,542,622
0,9,117,849
1,0,128,298
1,1,23,670
1,2,392,768
1,3,578,591
1,4,813,816
1,5,542,560
1,6,237,259
1,7,447,604
1,8,558,971
1,9,797,869
2,0,400,944
2,1,75,214
2,2,164,359
2,3,763,960
2,4,453,700
2,5,272,910
2,6,180,803
2,7,495,987
2,8,70,76
2,9,145,529
3,0,306,660
3,1,202,268
3,2,135,930
3,3,379,980
3,4,488,809
3,5,710,901
3,6,849,862
3,7,82,329
3,8,340,936
3,9,55,757
4,0,100,551
4,1,124,467
4,2,525,891
4,3,643,718
4,4,322,986
4,5,75,288
4,6,300,693
4,7,600,652
4,8,92,990
4,9,153,706
5,0,26,468
5,1,227,648
5,2,357,776
5,3,22,849
5,4,363,757
5,5,383,649
5,6,350,968
5,7,477,764
5,8,256,328
5,9,441,959
6,0,262,530
6,1,29,664
6,2,304,882
6,3,497,894
6,4,298,999
6,5,40,389
6,6,17,878
6,7,314,481
6,8,306,700
6,9,223,810
7,0,139,488
7,1,413,563
7,2,488,539
7,3,235,800
7,4,269,791
7,5,617,660
7,6,193,968
7,7,47,919
7,8,337,673
7,9,330,567
8,0,692,987
8,1,567,932
8,2,451,838
8,3,426,918
8,4,689,754
8,5,97,932
8,6,176,382
8,7,969,990
8,8,604,923
8,9,44,723
9,0,255,264
9,1,186,703
9,2,867,974
9,3,79,95
9,4,197,199
9,5,806,912
9,6,202,865
9,7,700,768
9,8,526,793
9,9,397,749
# Tariff inequalities: SUM(coeff_t * tariff_t) <= const
# TariffIneqID,Constant,Coeff0,Coeff1,...,Coeff_nTime-1
0,43433,10,6,8,7,10,1,0,2,4,7
# Utility inequalities: SUM(coeff_it * util_it) <= const
# UtilityIneqID,Constant,Coeff_C0T0,Coeff_C0T1,...Coeff_C0T(nTime-1),Coeff_C1T0,Coeff_C1T1,...
