# nConsumer,nTime,nTariffIneq,nUtilIneq
10,5,1,1
# Wholesale prices
# Time,Price
0,10
1,189
2,19
3,31
4,404
# Total load
# Consumer,MinTotal,MaxTotal
0,2364,2607
1,1887,2255
2,2132,2739
3,2701,2935
4,1583,2285
5,2363,3038
6,2236,2550
7,2804,3209
8,1161,2699
9,2930,3472
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,250,517
0,1,427,624
0,2,443,686
0,3,556,794
0,4,507,731
1,0,205,562
1,1,505,880
1,2,119,194
1,3,541,573
1,4,269,597
2,0,162,267
2,1,478,856
2,2,614,710
2,3,303,657
2,4,491,562
3,0,27,641
3,1,765,913
3,2,6,753
3,3,703,725
3,4,892,922
4,0,72,123
4,1,290,703
4,2,137,142
4,3,562,792
4,4,382,434
5,0,511,683
5,1,434,463
5,2,539,764
5,3,619,997
5,4,80,799
6,0,574,608
6,1,255,630
6,2,156,663
6,3,902,905
6,4,395,597
7,0,134,204
7,1,632,963
7,2,258,888
7,3,685,815
7,4,333,787
8,0,108,375
8,1,305,621
8,2,180,429
8,3,5,713
8,4,484,803
9,0,517,998
9,1,324,505
9,2,110,670
9,3,56,633
9,4,801,810
# Tariff
# Time,MinTariff,MaxTariff
0,193,367
1,545,580
2,55,143
3,182,838
4,107,789
#Utilities
# Consumer,Time,MinUtil,MaxUtil
0,0,361,910
0,1,700,823
0,2,410,567
0,3,164,260
0,4,439,444
1,0,18,148
1,1,419,506
1,2,0,46
1,3,743,958
1,4,160,287
2,0,216,243
2,1,269,826
2,2,161,168
2,3,456,942
2,4,124,676
3,0,532,630
3,1,720,757
3,2,120,167
3,3,371,386
3,4,469,492
4,0,356,668
4,1,175,256
4,2,593,816
4,3,755,830
4,4,25,1000
5,0,128,131
5,1,140,345
5,2,667,724
5,3,173,556
5,4,302,343
6,0,165,786
6,1,717,788
6,2,310,976
6,3,202,429
6,4,558,882
7,0,362,774
7,1,654,714
7,2,10,979
7,3,208,708
7,4,45,774
8,0,33,871
8,1,304,686
8,2,231,836
8,3,815,992
8,4,474,588
9,0,576,744
9,1,111,827
9,2,296,722
9,3,20,684
9,4,551,985
# Tariff inequalities: SUM(coeff_t * tariff_t) <= const
# TariffIneqID,Constant,Coeff0,Coeff1,...,Coeff_nTime-1
0,10933,2,10,6,7,4
# Utility inequalities: SUM(coeff_it * util_it) <= const
# UtilityIneqID,Constant,Coeff_C0T0,Coeff_C0T1,...Coeff_C0T(nTime-1),Coeff_C1T0,Coeff_C1T1,...
0,123870,9,5,5,0,8,2,2,9,2,7,7,8,7,10,10,9,6,6,4,4,7,8,7,10,6,0,1,9,4,3,8,10,5,0,0,8,9,4,4,4,9,5,1,0,6,5,2,1,3,0
