# nConsumer,nTime,nTariffIneq,nUtilIneq
10,10,1,1
# Wholesale prices
# Time,Price
0,456
1,113
2,461
3,350
4,397
5,356
6,150
7,283
8,473
9,117
# Total load
# Consumer,MinTotal,MaxTotal
0,4580,6529
1,4438,6109
2,3398,4551
3,3453,3888
4,3897,5373
5,6320,6788
6,5105,6157
7,3991,5947
8,5549,5795
9,5337,5946
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,385,930
0,1,308,889
0,2,151,503
0,3,155,488
0,4,372,827
0,5,566,869
0,6,338,702
0,7,443,585
0,8,242,779
0,9,344,771
1,0,627,758
1,1,149,897
1,2,450,918
1,3,329,712
1,4,672,759
1,5,335,680
1,6,755,794
1,7,410,761
1,8,117,846
1,9,506,627
2,0,247,581
2,1,364,462
2,2,8,397
2,3,41,409
2,4,89,294
2,5,129,663
2,6,102,367
2,7,682,905
2,8,591,871
2,9,249,481
3,0,204,267
3,1,483,547
3,2,99,625
3,3,581,762
3,4,444,579
3,5,349,923
3,6,46,540
3,7,55,713
3,8,63,149
3,9,68,233
4,0,268,436
4,1,153,629
4,2,197,508
4,3,279,735
4,4,821,872
4,5,243,343
4,6,319,805
4,7,131,623
4,8,680,785
4,9,143,973
5,0,118,782
5,1,232,896
5,2,602,624
5,3,463,899
5,4,602,874
5,5,15,495
5,6,30,687
5,7,146,361
5,8,218,600
5,9,199,970
6,0,89,501
6,1,96,356
6,2,177,987
6,3,160,833
6,4,784,790
6,5,15,407
6,6,274,834
6,7,4,556
6,8,493,805
6,9,823,866
7,0,68,451
7,1,290,929
7,2,185,221
7,3,389,877
7,4,781,969
7,5,561,672
7,6,154,536
7,7,331,711
7,8,508,538
7,9,534,668
8,0,598,829
8,1,241,472
8,2,201,872
8,3,380,682
8,4,395,633
8,5,396,938
8,6,514,810
8,7,90,956
8,8,587,711
8,9,125,904
9,0,129,660
9,1,364,928
9,2,163,539
9,3,48,176
9,4,115,802
9,5,419,904
9,6,293,839
9,7,117,624
9,8,158,283
9,9,570,700
# Tariff
# Time,MinTariff,MaxTariff
0,35,806
1,202,865
2,612,768
3,475,918
4,526,659
5,397,749
6,345,968
7,699,782
8,52,106
9,453,650
#Utilities
# Consumer,Time,MinUtil,MaxUtil
0,0,649,768
0,1,402,653
0,2,101,333
0,3,304,853
0,4,421,503
0,5,639,907
0,6,97,314
0,7,352,518
0,8,444,777
0,9,310,350
1,0,309,808
1,1,919,980
1,2,200,773
1,3,731,814
1,4,289,413
1,5,267,944
1,6,93,858
1,7,130,483
1,8,313,980
1,9,369,468
2,0,314,769
2,1,394,506
2,2,49,272
2,3,188,656
2,4,180,585
2,5,145,456
2,6,48,360
2,7,106,781
2,8,537,706
2,9,530,893
3,0,506,681
3,1,181,456
3,2,171,553
3,3,297,568
3,4,118,522
3,5,481,520
3,6,10,405
3,7,419,776
3,8,38,858
3,9,313,472
4,0,480,769
4,1,224,715
4,2,380,483
4,3,621,796
4,4,246,639
4,5,431,494
4,6,455,715
4,7,523,665
4,8,395,492
4,9,42,447
5,0,705,721
5,1,460,863
5,2,286,563
5,3,461,750
5,4,108,556
5,5,84,510
5,6,233,781
5,7,35,153
5,8,521,795
5,9,543,596
6,0,551,690
6,1,659,851
6,2,247,427
6,3,513,791
6,4,700,878
6,5,117,668
6,6,910,938
6,7,299,342
6,8,393,969
6,9,278,680
7,0,256,300
7,1,749,838
7,2,64,405
7,3,477,736
7,4,131,310
7,5,305,620
7,6,568,716
7,7,132,590
7,8,263,601
7,9,851,885
8,0,47,299
8,1,75,701
8,2,22,350
8,3,339,794
8,4,418,885
8,5,99,218
8,6,842,918
8,7,685,713
8,8,253,538
8,9,35,213
9,0,241,502
9,1,295,756
9,2,45,71
9,3,723,877
9,4,285,594
9,5,301,471
9,6,354,359
9,7,51,528
9,8,68,474
9,9,541,996
# Tariff inequalities: SUM(coeff_t * tariff_t) <= const
# TariffIneqID,Constant,Coeff0,Coeff1,...,Coeff_nTime-1
0,25300,2,10,1,1,8,5,3,5,6,3
# Utility inequalities: SUM(coeff_it * util_it) <= const
# UtilityIneqID,Constant,Coeff_C0T0,Coeff_C0T1,...Coeff_C0T(nTime-1),Coeff_C1T0,Coeff_C1T1,...
0,288948,4,1,10,10,7,4,4,2,5,3,7,6,2,0,3,5,6,9,5,9,3,0,2,1,8,1,2,9,2,1,1,3,0,10,3,0,2,4,5,7,6,7,3,10,5,9,4,3,0,2,2,5,9,6,6,8,6,4,7,1,1,10,5,7,10,4,4,6,1,7,3,7,4,0,10,0,9,3,7,7,4,1,8,5,7,9,5,2,2,7,8,8,8,7,6,7,0,0,1,9
