# nConsumer,nTime,nTariffIneq,nUtilIneq
10,5,1,10
# Wholesale prices
# Time,Price
0,51
1,326
2,61
3,219
4,460
# Total load
# Consumer,MinTotal,MaxTotal
0,1955,2284
1,1642,3390
2,2006,2365
3,2710,3136
4,2503,3041
5,3711,4045
6,2639,2902
7,1355,1761
8,2123,3099
9,766,2147
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,0,28
0,1,218,482
0,2,156,510
0,3,292,365
0,4,795,882
1,0,224,387
1,1,606,766
1,2,249,993
1,3,556,753
1,4,76,487
2,0,338,783
2,1,571,663
2,2,381,403
2,3,317,787
2,4,261,294
3,0,731,821
3,1,225,651
3,2,608,709
3,3,531,875
3,4,81,270
4,0,391,414
4,1,826,923
4,2,326,358
4,3,51,657
4,4,811,876
5,0,763,946
5,1,131,686
5,2,492,568
5,3,478,969
5,4,636,845
6,0,710,785
6,1,259,868
6,2,318,714
6,3,130,707
6,4,151,161
7,0,45,99
7,1,404,562
7,2,647,652
7,3,113,181
7,4,63,345
8,0,192,768
8,1,693,867
8,2,182,594
8,3,409,891
8,4,185,988
9,0,26,245
9,1,331,489
9,2,27,537
9,3,302,338
9,4,2,714
# Tariff
# Time,MinTariff,MaxTariff
0,116,238
1,107,545
2,406,527
3,573,839
4,22,545
#Utilities
# Consumer,Time,MinUtil,MaxUtil
0,0,276,842
0,1,574,584
0,2,942,998
0,3,89,314
0,4,737,809
1,0,283,848
1,1,641,731
1,2,353,486
1,3,286,486
1,4,315,728
2,0,398,754
2,1,40,49
2,2,70,512
2,3,614,680
2,4,206,502
3,0,235,664
3,1,689,869
3,2,66,849
3,3,320,646
3,4,527,648
4,0,184,901
4,1,158,562
4,2,533,823
4,3,356,581
4,4,568,824
5,0,168,496
5,1,497,892
5,2,728,731
5,3,21,822
5,4,23,520
6,0,352,450
6,1,603,921
6,2,293,486
6,3,499,674
6,4,301,805
7,0,211,646
7,1,9,418
7,2,12,555
7,3,369,528
7,4,694,773
8,0,114,845
8,1,254,975
8,2,245,980
8,3,607,908
8,4,406,903
9,0,4,542
9,1,492,610
9,2,75,763
9,3,81,625
9,4,743,791
# Tariff inequalities: SUM(coeff_t * tariff_t) <= const
# TariffIneqID,Constant,Coeff0,Coeff1,...,Coeff_nTime-1
0,5514,8,7,4,2,8
# Utility inequalities: SUM(coeff_it * util_it) <= const
# UtilityIneqID,Constant,Coeff_C0T0,Coeff_C0T1,...Coeff_C0T(nTime-1),Coeff_C1T0,Coeff_C1T1,...
0,10324,3,1,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22728,0,0,0,0,0,9,1,9,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16891,0,0,0,0,0,0,0,0,0,0,9,6,10,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,16444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,6,0,0,0,0,0,0,0,0,0,0,0
8,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,3,0,0,0,0,0,0
9,10082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,3
