# nConsumer,nTime,nTariffIneq,nUtilIneq
5,5,1,1
# Wholesale prices
# Time,Price
0,383
1,485
2,44
3,10
4,47
# Total load
# Consumer,MinTotal,MaxTotal
0,2251,2738
1,2203,4133
2,2237,2982
3,4190,4418
4,1979,2575
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,476,849
0,1,745,951
0,2,438,759
0,3,348,723
0,4,103,746
1,0,24,856
1,1,214,706
1,2,121,906
1,3,489,920
1,4,16,861
2,0,811,886
2,1,86,709
2,2,437,880
2,3,304,892
2,4,393,904
3,0,835,973
3,1,574,594
3,2,963,971
3,3,757,989
3,4,937,938
4,0,247,784
4,1,18,462
4,2,18,612
4,3,113,266
4,4,516,751
# Tariff
# Time,MinTariff,MaxTariff
0,935,966
1,192,541
2,104,515
3,419,992
4,586,596
#Utilities
# Consumer,Time,MinUtil,MaxUtil
0,0,406,814
0,1,328,619
0,2,2,37
0,3,124,590
0,4,124,504
1,0,140,692
1,1,303,502
1,2,232,827
1,3,371,892
1,4,218,510
2,0,108,915
2,1,818,894
2,2,231,947
2,3,259,506
2,4,115,197
3,0,926,932
3,1,393,545
3,2,392,972
3,3,401,888
3,4,925,988
4,0,826,858
4,1,122,555
4,2,209,415
4,3,53,79
4,4,70,952
# Tariff inequalities: SUM(coeff_t * tariff_t) <= const
# TariffIneqID,Constant,Coeff0,Coeff1,...,Coeff_nTime-1
0,13370,3,0,5,6,4
# Utility inequalities: SUM(coeff_it * util_it) <= const
# UtilityIneqID,Constant,Coeff_C0T0,Coeff_C0T1,...Coeff_C0T(nTime-1),Coeff_C1T0,Coeff_C1T1,...
0,81440,6,9,5,8,9,6,9,10,0,9,5,3,10,8,7,6,7,2,1,7,7,7,9,5,6
